model,bal_acc_mean,bal_acc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
RandomForest,0.5099523460004489,0.03379045007446462,0.49652400004237834,0.07266394895022935,0.432134447578281,0.03592287838557164,0.49543961785341095,0.037968408506691476,0.3886673182635241,0.05645561120585441
GradBoost,0.4792015105592934,0.04467148758517204,0.4810244560160573,0.04158611218337559,0.4390974075601191,0.02416329072772595,0.46083527307211514,0.017349684518860545,0.4221908999064654,0.04610857007914398
LogReg,0.47130606871845926,0.05155827451784483,0.4685210581077948,0.0656891479383459,0.4602953522601294,0.020375242723264644,0.4560859465737514,0.023659206527877653,0.46808832791310884,0.04316582578527519
